pano,ONSConstID,ConstituencyName,Country,Region,ConstituencyType,Winner15,Con15,Lab15,LD15,SNP15,PC15,UKIP15,Green15,Other15,Majority15,Turnout15,ConVote15,LabVote15,LDVote15,SNPVote15,PCVote15,UKIPVote15,GreenVote15,BNPVote15,TotalVote15,RejectedVote15,Electorate15,SeatChange1015,Con1015,Lab1015,LD1015,SNP1015,PC1015,UKIP1015,Green1015,Winner10,Con10,Lab10,LD10,SNP10,PC10,UKIP10,Green10,BNP10,Majority10,Turn10,ConVote10,LabVote10,LDVote10,SNPVote10,PCVote10,UKIPVote10,GreenVote10,BNPVote10,TotalVote10,Electorate10,ConPPC,ConPPCsex,ConPPCrace,LabPPC,LabPPCsex,LabPPCrace,LDPPC,LDPPCsex,LDPPCrace,UKIPPPC,UKIPPPCsex,UKIPPPCrace,SNPPPC,SNPPPCsex,SNPPPCrace,PCPPC,PCPPCsex,PCPPCrace,GreenPPC,GreenPPCsex,GreenPPCrace,c11Population,c11PopulationDensity,c11Male,c11Female,c11Households,c11Communal,c11Age0to4,c11Age5to7,c11Age8to9,c11Age10to14,c11Age15,c11Age16to17,c11Age18to19,c11Age20to24,c11Age25to29,c11Age30to44,c11Age45to59,c11Age60to64,c11Age65to74,c11Age75to84,c11Age85to89,c11Age90plus,c11HouseOwned,c11HouseOutright,c11HouseMortgage,c11HouseShared,c11HouseSocial,c11HouseSocialLA,c11HouseSocialOther,c11HousePrivate,c11HousePrivateLandlord,c11HousePrivateOther,c11HouseRentFree,c11HouseholdOnePerson,c11HouseholdOnePerson65plus,c11HouseholdOnePersonOther,c11HouseholdOneFamily,c11HouseholdOneFamily65plus,c11HouseholdMarried,c11HouseholdMarriedNoChildren,c11HouseholdMarriedDependents,c11HouseholdMarriedNondependents,c11HouseholdCohabit,c11HouseholdCohabitNoChildren,c11HouseholdCohabitDependents,c11HouseholdCohabitNodependents,c11HouseholdLone,c11HouseholdLoneDependents,c11HouseholdLoneNodependents,c11HouseholdOther,c11HouseholdOtherDependents,c11HouseholdAllStudents,c11HouseholdAll65plus,c11HouseholdAnyOther,c11CarsNone,c11CarsOne,c11CarsTwo,c11CarsThree,c11CarsFour,c11EthnicityWhite,c11EthnicityMixed,c11EthnicityAsian,c11EthnicityBlack,c11EthnicityOther,c11EthnicityWhiteBritish,c11EthnicityWhiteIrish,c11EthnicityWhiteTraveller,c11EthnicityWhiteOther,c11EthnicityMixedCaribbean,c11EthnicityMixedAfrican,c11EthnicityMixedAsian,c11EthnicityMixedOther,c11EthnicityIndian,c11EthnicityPakistani,c11EthnicityBangladeshi,c11EthnicityChinese,c11EthnicityOtherAsian,c11EthnicityBlackAfrican,c11EthnicityBlackCaribbean,c11EthnicityBlackOther,c11EthnicityArab,c11EthnicityAnyOther,c11BornUK,c11BornEngland,c11BornNI,c11BornScotland,c11BornWales,c11BornUKNotSpecified,c11BornIreland,c11BornOtherEU,c11BornOtherPre2004EU,c11BornPost2004EU,c11BornOther,c11PassportNone,c11PassportAny,c11PassportUK,c11PassportIreland,c11PassportEU,c11PassportEuropeNotEU,c11PassportAfrica,c11PassportAsia,c11PassportNorthAmerica,c11PassportCentralAmerica,c11PassportSouthAmerica,c11PassportOceania,c11EnglishAll,c11EnglishOne,c11EnglishChild,c11EnglishNone,c11Christian,c11Buddhist,c11Hindu,c11Jewish,c11Muslim,c11Sikh,c11ReligionOther,c11NoReligion,c11ReligionNotStated,c11NSSECHigherManager,c11NSSECHigherProfessional,c11NSSECLowerManager,c11NSSECIntermediate,c11NSSECSmallEmployer,c11NSSECLowerSupervisor,c11NSSECSemiRoutine,c11NSSECRoutine,c11NSSECNeverWorked,c11NSSECLongtermUnemployed,c11EconomicActive,c11Employed,c11EmployedPartTime,c11EmployedFullTime,c11SelfEmployed,c11Unemployed,c11EconomicallyActiveStudent,c11EconomicInactive,c11Retired,c11EconomicallyInactiveStudent,c11LookingAfterHome,c11LongTermSick,c11EconomicInactiveOther,c11Unemployed16to24,c11Unemployed50to74,c11Neverworked,c11LongTermUnemployed,c11FulltimeStudent,c11IndustryAgriculture,c11IndustryMining,c11IndustryManufacturing,c11IndustryElectricitySupply,c11IndustryWaterSupply,c11IndustryConstruction,c11IndustryWholesale,c11IndustryTransport,c11IndustryAccommodation,c11IndustryCommunication,c11IndustryFinance,c11IndustryRealEstate,c11IndustryProfessional,c11IndustryAdministrative,c11IndustryPublicAdministration,c11IndustryEducation,c11IndustrySocialWork,c11IndustryOther,c11QualNone,c11QualLevel1,c11QualLevel2,c11QualApprentice,c11QualLevel3,c11QualLevel4,c11QualOther,c11Degree,c11HealthVeryGood,c11HealthGood,c11HealthFair,c11HealthBad,c11HealthVeryBad,c11NoAdultsEmployed,c11NoAdultsEmployedChildren,c11NoAdultsEmployedNoChildren,c11DeprivedNone,c11Deprived1,c11Deprived2,c11Deprived3,c11Deprived4,ConLongSpendPercent,ConShortSpendPercent,LabLongSpendPercent,LabShortSpendPercent,LDLongSpendPercent,LDShortSpendPercent,SNPLongSpendPercent,SNPShortSpendPercent,PCLongSpendPercent,PCShortSpendPercent,UKIPLongSpendPercent,UKIPShortSpendPercent,GreenLongSpendPercent,GreenShortSpendPercent
1,W07000049,Aberavon,Wales,Wales,County,Labour,11.87,48.90,4.43,,11.62,15.77,2.26,5.15,33.13,63.27,3742,15416,1397,,3663,4971,711,,31523,57,49821,,-2.38,-3.02,-11.83,,4.52,14.19,2.26,Labour,14.25,51.92,16.26,,7.10,1.58,,4.12,35.70,61.00," 4,411 "," 16,073 "," 5,034 ",," 2,198 ", 489 ,," 1,276 ",30958," 50,838 ","Yi, Edward He",Man,BME,"Kinnock, Stephen",Man,White,"Clarke, Helen Ceri",Woman,White,"Bush, Peter",Man,White,,,,"Higgitt, Duncan",Man,White,"Tier, Jonathan",Man,White,66133,3.75,48.77,51.23,99.29,0.71,5.51,3.16,2.00,5.75,1.24,2.68,2.27,6.01,6.54,19.13,20.89,6.49,9.54,6.27,1.67,0.84,66.83,34.64,32.20,0.21,19.91,13.45,6.46,11.10,9.73,1.37,1.94,30.36,13.80,16.56,63.78,8.33,32.64,12.01,12.89,7.74,9.87,4.41,4.85,0.61,12.95,8.18,4.77,5.86,2.32,0.01,0.32,3.21,27.89,43.74,22.21,4.85,1.30,97.59,0.73,1.25,0.30,0.13,96.32,0.37,0.13,0.76,0.33,0.05,0.19,0.16,0.23,0.12,0.32,0.24,0.34,0.11,0.17,0.02,0.06,0.07,97.13,8.28,0.16,0.66,88.03,0.00,0.37,0.81,0.47,0.34,1.69,23.54,76.71,75.13,0.24,0.49,0.05,0.12,0.45,0.13,0.00,0.03,0.07,98.53,0.82,0.12,0.53,56.82,0.23,0.13,0.03,0.57,0.08,0.34,34.68,7.12,1.28,3.42,16.46,12.04,6.23,10.76,18.81,18.03,4.95,1.79,61.90,54.87,13.88,35.92,5.07,4.80,2.23,38.10,16.67,4.18,4.53,10.17,2.55,1.71,0.68,0.76,1.79,6.23,0.29,0.31,17.34,0.52,1.07,8.52,15.07,4.24,5.15,1.82,3.14,1.06,2.96,4.31,8.63,7.55,13.81,4.21,32.94,14.97,15.78,5.08,10.65,16.62,3.96,8.29,44.55,28.28,16.18,8.30,2.69,42.46,6.23,36.23,32.23,29.68,27.80,9.83,0.46,0.3,7.18,11.57,72.3,0.52,8.59,.,.,0,15.53,0,3.26,0,3.77
2,W07000058,Aberconwy,Wales,Wales,County,Conservative,41.51,28.24,4.61,,11.73,11.50,2.41,,13.26,66.22,12513,8514,1391,,3536,3467,727,,30148,59,45525,,5.69,3.76,-14.70,,-6.09,9.39,2.41,Conservative,35.82,24.48,19.31,,17.82,2.11,,,11.30,67.20," 10,734 "," 7,336 "," 5,786 ",," 5,341 ", 632 ,,,29966," 44,593 ","Bebb, Guto ap Owain",Man,White,"Wimbury, Mary Felicity",Woman,White,"Babu, Victor",Man,BME,"Haigh, Andrew",Man,White,,,,"Meurig, Dafydd",Man,White,"Haig, Petra Mary",Woman,White,56415,0.94,48.33,51.67,97.59,2.41,4.96,2.76,1.78,5.48,1.12,2.45,2.15,5.14,4.73,16.87,20.49,7.86,12.01,8.69,2.34,1.19,69.74,41.25,28.49,0.53,11.88,4.60,7.28,16.19,14.59,1.60,1.66,34.65,17.28,17.37,59.79,11.45,29.65,12.66,11.60,5.39,8.98,4.54,4.05,0.39,9.71,6.20,3.51,5.56,1.96,0.01,0.44,3.15,22.39,44.48,24.94,5.99,2.20,97.84,0.84,0.88,0.17,0.27,95.18,0.76,0.04,1.86,0.28,0.14,0.23,0.19,0.20,0.06,0.09,0.28,0.25,0.10,0.03,0.04,0.15,0.12,95.43,36.83,0.36,1.14,57.09,0.01,0.74,1.72,0.80,0.91,2.11,22.39,78.10,75.10,0.55,1.38,0.07,0.21,0.32,0.25,0.01,0.03,0.18,97.64,1.20,0.14,1.01,64.46,0.34,0.13,0.06,0.41,0.00,0.41,26.38,7.82,1.75,6.20,21.82,10.58,13.25,7.88,16.63,11.02,2.54,1.60,67.33,60.49,15.69,33.06,11.74,3.97,2.87,32.67,19.20,4.05,3.02,4.64,1.75,1.13,0.80,0.44,1.60,6.72,1.71,0.27,4.43,0.62,0.68,8.17,16.82,3.62,12.04,1.83,1.74,1.61,4.99,3.64,6.72,10.29,15.71,5.11,23.69,13.13,16.37,3.94,11.14,27.13,4.60,14.15,46.59,32.62,14.79,4.68,1.31,40.39,3.12,37.27,40.88,34.26,19.59,4.76,0.51,69.29,73.98,24.84,60.08,16.86,49.04,.,.,0.9,26.95,0.95,15.22,0.05,2.16
3,S14000001,Aberdeen North,Scotland,Scotland,Borough,Scottish National Party,12.07,25.94,4.67,56.43,,,,0.89,30.49,64.85,5304,11397,2050,24793,,,,,43936,78,67745,Scottish National Party gain from Labour,-0.31,-18.48,-13.90,34.19,,,,Labour,12.38,44.42,18.57,22.24,,,,1.68,22.20,58.20," 4,666 "," 16,746 "," 7,001 "," 8,385 ",,,, 635 ,37701," 64,808 ","Sen, Sanjoy",Man,BME,"Baker, Richard",Man,White,"Davidson, Euan",Man,White,,,,"Blackman, Kirsty",Woman,White,,,,,,,99654,20.46,49.44,50.56,0.95,5.46,5.38,2.59,1.52,3.85,0.86,1.71,5.09,13.40,10.44,20.41,16.80,5.01,6.51,4.86,1.09,0.49,45.49,18.67,25.95,0.87,35.46,29.93,5.53,17.75,15.47,2.28,1.30,39.25,11.31,27.95,49.40,5.31,23.76,9.67,10.27,3.82,10.83,6.94,3.42,0.47,9.50,5.97,3.53,11.35,1.56,4.43,0.15,5.21,39.59,42.96,14.55,2.29,0.61,90.19,0.71,5.14,3.18,0.78,79.34,0.99,0.16,9.70,,,,,1.94,0.51,0.33,1.13,1.23,,,,0.56,0.22,81.10,7.77,0.70,72.35,0.27,,0.60,8.38,2.44,5.94,9.92,,,,,,,,,,,,,,,,,38.31,0.42,1.29,0.09,2.31,0.08,0.43,49.83,7.24,1.06,7.59,15.82,10.49,4.04,8.43,14.29,14.30,2.29,1.36,70.48,57.23,10.99,41.79,4.45,3.69,9.56,29.52,9.38,10.95,3.00,4.46,1.73,1.08,0.56,0.45,1.35,20.33,0.40,6.61,6.55,0.24,0.55,6.12,16.32,5.94,8.95,2.24,1.17,0.70,8.03,5.90,3.71,7.79,14.52,4.27,22.46,22.85,16.57,,9.16,28.96,,,52.20,31.83,11.26,3.65,1.06,31.96,3.21,28.75,40.37,33.19,19.63,6.05,0.76,1.03,17.51,29.79,77.93,0,10.1,15.79,89.68,.,.,0,0,0,0
4,S14000002,Aberdeen South,Scotland,Scotland,Borough,Scottish National Party,22.84,26.76,4.64,41.65,,1.85,1.99,0.29,14.89,71.34,11087,12991,2252,20221,,897,964,,48551,56,68056,Scottish National Party gain from Labour,2.13,-9.77,-23.75,29.79,,1.85,1.03,Labour,20.71,36.53,28.39,11.86,,,0.96,1.23,8.20,67.20," 8,914 "," 15,722 "," 12,216 "," 5,102 ",,, 413 , 529 ,43034," 64,031 ","Thomson, Ross",Man,White,"Begg, Anne",Woman,White,"Rixson, Denis",Man,White,"Skinner, Sandra",Woman,White,"McCaig, Callum",Man,White,,,,"Yeats, Dan",Man,White,93197,11.49,49.47,50.53,0.97,2.84,5.06,2.49,1.61,4.45,0.95,2.01,2.71,8.81,9.52,21.86,20.08,5.40,7.33,5.62,1.41,0.68,62.53,28.55,33.38,0.60,16.74,13.32,3.42,19.28,17.52,1.77,1.45,39.46,11.14,28.32,53.13,6.67,29.06,11.65,13.27,4.14,10.61,7.38,2.86,0.37,6.79,3.82,2.97,7.41,1.12,1.79,0.17,4.33,27.79,45.71,21.56,3.81,1.13,92.58,0.70,3.84,2.29,0.59,83.52,1.18,0.11,7.77,,,,,1.39,0.39,0.23,0.81,1.02,,,,0.37,0.22,84.29,9.03,0.58,74.24,0.43,,0.77,5.88,2.45,3.43,9.06,,,,,,,,,,,,,,,,,42.74,0.42,0.95,0.07,1.73,0.04,0.32,46.53,7.20,2.46,13.60,22.45,12.31,5.41,7.92,12.12,9.38,1.91,0.90,75.18,66.48,11.32,48.11,7.06,2.75,5.95,24.82,10.95,5.77,3.58,2.77,1.76,0.79,0.55,0.30,0.89,11.55,0.35,11.15,6.54,0.29,0.42,5.53,13.66,4.78,6.48,2.64,1.68,0.96,13.11,4.51,3.93,8.54,11.72,3.70,17.02,19.37,13.48,,9.83,40.30,,,56.59,30.47,9.68,2.56,0.70,26.96,1.74,25.22,51.91,30.47,13.69,3.47,0.45,0,32.91,29.92,87.58,0,0,11.43,83.77,.,.,0,13.9,0,0
5,S14000058,West Aberdeenshire and Kincardine,Scotland,Scotland,County,Scottish National Party,28.84,4.51,21.40,41.58,,1.82,1.60,0.26,12.74,75.15,15916,2487,11812,22949,,1006,885,,55196,43,73445,Scottish National Party gain from Liberal Democrat,-1.42,-9.12,-17.02,25.90,,0.94,1.60,Liberal Democrat,30.26,13.63,38.42,15.68,,0.88,,1.14,8.20,68.40," 13,678 "," 6,159 "," 17,362 "," 7,086 ",, 397 ,, 513 ,45195," 66,110 ","Burnett, Alexander James Amherst",Man,White,"Black, Barry",Man,White,"Smith, Robert Hill",Man,White,"Lansdell, David Michael",Man,White,"Donaldson, Stuart Blair",Man,White,,,,"Openshaw, Richard Paul",Man,White,91710,0.28,49.39,50.61,0.99,1.08,5.85,3.58,2.24,6.40,1.25,2.79,2.03,4.78,4.81,20.47,23.42,6.90,8.60,4.96,1.29,0.65,75.30,34.80,40.03,0.47,11.94,8.16,3.77,10.56,9.40,1.16,2.20,24.45,11.12,13.32,72.39,8.94,46.33,17.62,21.49,7.22,10.04,5.38,4.13,0.53,7.09,4.38,2.71,3.16,1.16,0.03,0.17,1.80,10.20,38.82,38.07,9.29,3.63,98.02,0.37,1.08,0.40,0.13,94.59,0.56,0.05,2.81,,,,,0.28,0.13,0.07,0.19,0.41,,,,0.05,0.08,93.76,13.99,0.62,78.56,0.60,,0.27,2.19,1.25,0.94,3.77,,,,,,,,,,,,,,,,,48.93,0.21,0.18,0.03,0.35,0.02,0.27,42.57,7.43,3.02,10.75,24.47,13.22,9.59,8.76,13.06,8.98,1.11,0.70,76.00,70.62,14.92,44.98,10.73,2.07,3.30,24.00,13.50,3.16,4.31,1.87,1.16,0.61,0.48,0.19,0.69,6.32,3.43,8.70,7.04,0.30,0.46,8.09,13.68,4.61,5.07,2.02,1.46,1.27,10.45,3.94,4.40,8.86,12.04,4.18,18.13,23.68,14.40,,10.51,33.29,,,58.73,30.31,8.52,1.92,0.52,24.97,1.35,23.62,53.01,31.30,13.57,1.97,0.14,94.99,91.31,0.76,6.72,63.55,92.8,1.31,65.49,.,.,0,2.49,0,5.7
6,S14000003,Airdrie and Shotts,Scotland,Scotland,County,Scottish National Party,7.65,34.11,1.53,53.94,,2.46,,0.31,19.82,66.30,3389,15108,678,23887,,1088,,,44286,45,66792,Scottish National Party gain from Labour,-1.09,-24.05,-6.55,30.39,,2.46,,Labour,8.74,58.16,8.08,23.55,,,,,34.60,57.50," 3,133 "," 20,849 "," 2,898 "," 8,441 ",,,,,35849," 62,364 ","Holford, Eric",Man,White,"Nash, Pamela",Woman,White,"Love, John",Man,White,"Williams, Matt",Man,White,"Gray, Neil Charles",Man,White,,,,,,,85845,3.63,48.57,51.43,0.99,1.08,6.16,3.44,2.23,6.04,1.30,2.49,2.53,6.35,6.60,21.06,20.83,6.09,8.78,4.83,0.90,0.39,60.16,21.78,38.16,0.22,32.13,28.45,3.68,7.01,6.31,0.70,0.71,30.49,11.81,18.68,64.78,6.72,33.82,11.66,14.23,7.93,9.42,4.26,4.58,0.59,14.82,9.41,5.41,4.72,2.28,0.01,0.21,2.23,29.84,42.30,22.16,4.43,1.27,98.44,0.18,1.15,0.17,0.06,95.98,0.98,0.07,1.41,,,,,0.19,0.65,0.01,0.22,0.07,,,,0.04,0.02,97.39,2.65,0.32,94.30,0.11,,0.16,1.28,0.37,0.91,1.18,,,,,,,,,,,,,,,,,70.15,0.09,0.06,0.01,0.71,0.06,0.14,22.74,6.05,1.13,3.71,16.93,14.15,6.22,9.03,17.58,18.22,4.10,2.63,68.18,58.99,12.61,40.96,5.43,6.44,2.74,31.82,14.53,3.63,3.99,6.99,2.68,2.08,0.97,0.99,2.60,6.29,0.66,0.46,10.32,0.86,0.87,10.96,16.72,6.65,3.88,2.68,4.22,0.75,2.88,5.68,6.98,6.32,15.26,3.84,36.03,25.82,12.84,,9.83,15.49,,,50.19,28.19,13.92,5.85,1.85,36.97,5.54,31.43,32.54,32.29,25.35,8.95,0.87,0,10.5,2.99,87.3,0,0,13.49,41.89,.,.,1.43,0.78,0,0
7,E14000530,Aldershot,England,South East,Borough,Conservative,50.59,18.33,8.82,,,17.87,4.38,,32.26,63.77,23369,8468,4076,,,8253,2025,,46191,114,72430,,3.87,6.24,-25.59,,,13.37,4.38,Conservative,46.72,12.09,34.41,,,4.50,,,12.30,63.50," 21,203 "," 5,489 "," 15,617 ",,," 2,041 ",,,45384," 71,465 ","Howarth, Gerald",Man,White,"Puffett, Gary John",Man,White,"Hilliar, Alan Richard",Man,White,"Walker, Bill (William)",Man,White,,,,,,,"Hewitt, Carl Robert",Man,White,103922,19.61,49.90,50.10,98.05,1.95,7.04,3.79,2.16,5.81,1.28,2.66,2.40,7.00,7.58,23.69,18.79,5.12,7.03,4.00,1.07,0.58,65.43,24.49,40.94,1.69,15.27,1.97,13.30,16.80,12.26,4.55,0.82,25.10,9.40,15.70,65.80,6.50,38.89,12.88,20.02,6.00,10.89,6.01,4.39,0.50,9.51,6.23,3.28,9.11,3.49,0.05,0.24,5.32,15.83,42.30,32.04,7.27,2.57,85.53,2.13,9.77,1.93,0.63,81.25,0.76,0.20,3.32,0.64,0.34,0.69,0.47,1.36,0.62,0.21,0.52,7.05,1.16,0.55,0.22,0.16,0.47,83.10,79.51,0.56,1.80,1.22,0.01,0.67,3.71,2.26,1.45,12.52,13.86,87.16,75.93,0.59,2.53,0.21,1.21,5.75,0.47,0.02,0.10,0.35,90.50,3.48,0.89,5.13,58.14,3.07,3.23,0.07,1.38,0.20,0.39,26.54,6.99,2.71,8.01,22.51,15.48,8.05,8.09,14.54,9.93,2.63,1.37,77.51,70.70,13.53,48.94,8.22,3.64,3.18,22.49,10.33,3.72,3.92,2.54,1.98,1.11,0.73,0.46,1.37,6.69,0.10,0.09,7.06,0.42,0.73,7.48,15.96,5.08,5.28,6.40,3.66,1.00,6.06,6.71,11.11,7.31,11.00,4.58,18.51,16.36,17.14,3.72,12.52,24.99,6.75,13.87,50.03,35.65,10.74,2.77,0.80,23.74,3.12,20.61,47.94,32.84,15.18,3.62,0.41,4.78,60.54,2.36,16.18,0.62,20.57,.,.,.,.,1.28,4.42,0,2.46
8,E14000531,Aldridge-Brownhills,England,West Midlands,Borough,Conservative,52.05,22.37,3.37,,,19.62,2.09,0.50,29.68,65.59,20558,8835,1330,,,7751,826,,39497,105,60215,,-7.26,2.58,-14.32,,,19.62,-0.10,Conservative,59.31,19.79,17.69,,,,2.19,,39.50,65.10," 22,913 "," 7,647 "," 6,833 ",,,, 847 ,,38634," 58,970 ","Morton, Wendy",Woman,White,"Fisher, John Gary",Man,White,"Garrett, Ian",Man,White,"Thompson, Anthony Stephen Geoffrey",Man,White,,,,,,,"Curzey, Martyn Joshua",Man,White,76974,17.48,48.93,51.07,99.43,0.57,5.19,3.20,2.09,5.96,1.26,2.59,2.23,5.09,5.04,18.68,20.33,6.71,11.75,7.41,1.70,0.75,75.59,38.90,36.70,0.66,14.54,6.64,7.90,8.20,7.29,0.91,1.01,27.04,14.45,12.59,67.88,12.40,36.36,13.02,15.64,7.70,9.61,4.48,4.49,0.64,9.50,5.66,3.84,5.08,2.42,0.01,0.30,2.36,19.13,41.54,29.93,7.05,2.35,93.13,1.55,4.04,0.97,0.31,91.58,0.68,0.07,0.80,0.91,0.06,0.35,0.22,2.51,0.42,0.16,0.30,0.64,0.22,0.57,0.19,0.05,0.26,96.12,94.74,0.24,0.51,0.62,0.01,0.52,0.80,0.39,0.41,2.56,20.72,79.50,77.69,0.41,0.52,0.04,0.18,0.47,0.12,0.00,0.02,0.04,97.67,1.41,0.16,0.75,70.17,0.19,0.71,0.04,0.72,2.04,0.30,19.72,6.11,2.47,5.90,20.29,14.42,9.36,7.81,15.92,12.66,3.01,2.00,68.57,61.64,14.74,38.25,8.66,4.55,2.37,31.43,18.66,3.90,3.74,3.53,1.60,1.37,0.92,0.76,2.00,6.16,0.13,0.08,13.90,0.49,1.06,10.18,17.60,4.86,3.87,1.95,3.56,1.53,4.53,4.15,5.34,10.77,11.76,4.24,29.45,14.00,15.97,3.83,11.68,20.53,4.53,9.97,42.68,35.73,15.26,4.88,1.44,37.25,3.28,33.97,39.98,33.06,22.14,4.52,0.30,12.92,71.49,3.23,14.62,1.69,0,.,.,.,.,1.53,33.9,0,4.06
9,E14000532,Altrincham and Sale West,England,North West,Borough,Conservative,52.99,26.69,8.38,,,8.01,3.93,,26.31,70.64,26771,13481,4235,,,4047,1983,,50517,158,71511,,4.04,4.27,-17.09,,,4.85,3.93,Conservative,48.95,22.42,25.47,,,3.16,,,23.50,69.30," 24,176 "," 11,073 "," 12,581 ",,," 1,563 ",,,49393," 72,208 ","Brady, Graham Stuart",Man,White,"Wright, James Alexander",Man,White,"Brophy, Jane Elisabeth",Woman,White,"Frost, Chris",Man,,,,,,,,"Robertson-Brown, Nick",Man,White,96591,18.71,48.91,51.09,99.36,0.64,6.31,3.75,2.50,6.33,1.26,2.68,1.95,4.49,5.42,21.36,20.82,5.94,8.78,5.94,1.63,0.84,74.08,35.35,38.73,0.71,12.26,2.92,9.34,11.93,11.15,0.78,1.01,28.02,12.77,15.25,66.60,9.30,38.91,12.31,20.52,6.09,9.37,5.28,3.65,0.44,9.01,5.77,3.24,5.39,1.98,0.01,0.26,3.14,16.00,41.63,33.99,6.46,1.91,90.43,2.13,5.59,0.98,0.87,85.56,1.90,0.00,2.97,0.70,0.20,0.76,0.47,1.96,1.77,0.13,1.12,0.61,0.43,0.42,0.13,0.47,0.40,90.49,87.02,0.59,1.70,1.17,0.01,1.31,2.32,1.16,1.16,5.89,10.07,91.30,85.09,1.36,1.98,0.16,0.41,1.44,0.43,0.02,0.07,0.34,94.50,2.97,0.53,2.01,65.27,0.34,1.30,2.29,3.13,0.26,0.20,20.76,6.44,3.79,15.01,26.17,14.11,9.41,4.99,10.18,6.11,2.15,1.18,73.37,67.58,13.93,41.62,12.04,3.04,2.75,26.63,14.14,4.33,3.79,2.82,1.55,0.78,0.71,0.31,1.18,6.90,0.18,0.10,7.14,0.55,0.55,6.46,14.78,4.01,4.36,5.46,5.23,1.82,11.75,5.49,4.04,10.40,13.07,4.58,15.19,11.08,15.24,3.12,11.37,40.35,3.66,28.60,54.34,30.67,10.85,3.24,0.91,30.05,2.38,27.67,54.42,29.02,13.37,3.01,0.18,7.97,63.88,3.05,12.63,9.97,40.96,.,.,.,.,0,0.11,0,2.4
10,W07000043,Alyn and Deeside,Wales,Wales,County,Labour,31.94,40.03,4.19,,3.89,17.57,2.36,,8.09,66.62,13197,16540,1733,,1608,7260,976,,41314,55,62016,,-0.33,0.44,-14.12,,0.01,15.04,2.36,Labour,32.27,39.59,18.31,,3.88,2.53,,3.43,7.30,65.50," 12,885 "," 15,804 "," 7,308 ",," 1,549 "," 1,009 ",," 1,368 ",39923," 60,931 ","Knightly, Laura",Woman,White,"Tami, Mark",Man,White,"Jones, Tudor",Man,White,"Smillie, Blair",Man,White,,,,"Hurst, Jacqueline Ann",Woman,White,"Ibbotson, Alasdair",Man,White,82505,5.33,49.48,50.52,99.53,0.47,6.37,3.41,2.17,5.89,1.27,2.68,2.38,6.21,6.07,20.49,19.83,6.64,9.42,5.18,1.26,0.72,72.59,33.48,39.11,0.56,14.80,10.95,3.85,11.14,9.90,1.24,0.90,27.25,12.18,15.08,67.27,8.73,36.85,13.61,16.19,7.04,10.59,5.29,4.73,0.58,11.09,7.33,3.75,5.48,2.09,0.01,0.18,3.21,17.08,43.01,30.73,6.93,2.25,98.22,0.63,0.96,0.10,0.10,95.23,0.49,0.07,2.42,0.19,0.08,0.20,0.15,0.24,0.05,0.23,0.26,0.19,0.06,0.03,0.00,0.05,0.05,95.26,51.34,0.40,1.24,42.25,0.02,0.43,2.63,0.87,1.76,1.68,19.85,80.47,77.29,0.36,2.05,0.07,0.10,0.34,0.14,0.00,0.02,0.10,97.27,1.00,0.10,1.62,65.57,0.22,0.15,0.04,0.36,0.01,0.23,26.29,7.13,2.17,5.61,19.53,13.27,7.79,11.17,17.53,12.78,2.24,1.47,72.03,65.24,15.25,42.58,7.41,3.94,2.86,27.97,15.54,3.66,3.41,3.99,1.36,1.24,0.78,0.46,1.47,6.43,0.73,0.18,19.63,0.62,1.01,7.27,17.54,3.99,4.87,2.10,4.84,0.85,4.43,4.61,5.34,7.80,10.55,3.63,22.63,15.90,17.79,5.15,12.74,21.26,4.52,10.47,48.98,32.79,12.88,4.20,1.15,31.83,3.56,28.27,43.93,32.33,19.08,4.36,0.30,1.61,35.67,0,62.56,0.95,27.58,.,.,0.64,10.08,7.34,0,1.05,0
